Episode 349	 Total Reward: -0.11	 Steps: 0
Episode 350	 Total Reward: -1.10	 Steps: 2
Episode 351	 Total Reward: -0.11	 Steps: 0
Episode 352	 Total Reward: -0.11	 Steps: 0
Episode 353	 Total Reward: -0.11	 Steps: 0
Episode 354	 Total Reward: 1.63	 Steps: 5
Episode 355	 Total Reward: 0.14	 Steps: 1
Episode 356	 Total Reward: 3.54	 Steps: 6
Episode 357	 Total Reward: -0.54	 Steps: 2
Episode 358	 Total Reward: -1.16	 Steps: 5
Episode 359	 Total Reward: 4.21	 Steps: 8
Episode 360	 Total Reward: -2.24	 Steps: 2
Episode 361	 Total Reward: -0.20	 Steps: 2
Episode 362	 Total Reward: -0.13	 Steps: 6
Episode 363	 Total Reward: -0.11	 Steps: 0
Episode 364	 Total Reward: -0.70	 Steps: 3
Episode 365	 Total Reward: -0.11	 Steps: 0
Episode 366	 Total Reward: -3.10	 Steps: 5
Episode 367	 Total Reward: 1.27	 Steps: 1
Episode 368	 Total Reward: -0.11	 Steps: 0
Episode 369	 Total Reward: -1.27	 Steps: 1
Episode 370	 Total Reward: 0.83	 Steps: 4
Episode 371	 Total Reward: -0.11	 Steps: 0
Episode 372	 Total Reward: -0.82	 Steps: 3
Episode 373	 Total Reward: -1.85	 Steps: 1
Episode 374	 Total Reward: 0.92	 Steps: 4
Episode 375	 Total Reward: -0.04	 Steps: 5
Episode 376	 Total Reward: 0.84	 Steps: 5
Episode 377	 Total Reward: -0.11	 Steps: 0
Episode 378	 Total Reward: -2.68	 Steps: 1
Episode 379	 Total Reward: 1.03	 Steps: 2
Episode 380	 Total Reward: -0.39	 Steps: 1
Episode 381	 Total Reward: 2.00	 Steps: 12
Episode 382	 Total Reward: -0.27	 Steps: 6
Episode 383	 Total Reward: -0.11	 Steps: 0
Episode 384	 Total Reward: -1.01	 Steps: 1
Episode 385	 Total Reward: -0.82	 Steps: 1
Episode 386	 Total Reward: -2.56	 Steps: 6
Episode 387	 Total Reward: -0.46	 Steps: 2
Episode 388	 Total Reward: -3.94	 Steps: 4
Episode 389	 Total Reward: -0.15	 Steps: 1
Episode 390	 Total Reward: -3.44	 Steps: 4
Episode 391	 Total Reward: -0.47	 Steps: 1
Episode 392	 Total Reward: -0.11	 Steps: 0
Episode 393	 Total Reward: 0.57	 Steps: 2
Episode 394	 Total Reward: -0.77	 Steps: 3
Episode 395	 Total Reward: 0.19	 Steps: 1
Episode 396	 Total Reward: 0.15	 Steps: 3
Episode 397	 Total Reward: 2.68	 Steps: 3
Episode 398	 Total Reward: 1.17	 Steps: 7
Episode 399	 Total Reward: -3.07	 Steps: 14
Episode 400	 Total Reward: 0.09	 Steps: 2
Episode 401	 Total Reward: -4.10	 Steps: 7
Episode 402	 Total Reward: -0.11	 Steps: 0
Episode 403	 Total Reward: -0.11	 Steps: 0
Episode 404	 Total Reward: -1.43	 Steps: 4
Episode 405	 Total Reward: -0.11	 Steps: 0
Episode 406	 Total Reward: -0.46	 Steps: 5
Episode 407	 Total Reward: -1.48	 Steps: 1
Episode 408	 Total Reward: -0.11	 Steps: 0
Episode 409	 Total Reward: -0.11	 Steps: 0
Episode 410	 Total Reward: -0.02	 Steps: 8
Episode 411	 Total Reward: -0.11	 Steps: 0
Episode 412	 Total Reward: -1.72	 Steps: 3
Episode 413	 Total Reward: -0.13	 Steps: 2
Episode 414	 Total Reward: -0.11	 Steps: 0
Episode 415	 Total Reward: -0.11	 Steps: 0
Episode 416	 Total Reward: -0.11	 Steps: 0
Episode 417	 Total Reward: 2.73	 Steps: 5
Episode 418	 Total Reward: -0.74	 Steps: 11
Episode 419	 Total Reward: -0.81	 Steps: 3
Episode 420	 Total Reward: 0.88	 Steps: 1
Episode 421	 Total Reward: 0.35	 Steps: 13
Episode 422	 Total Reward: 0.64	 Steps: 3
Episode 423	 Total Reward: -0.29	 Steps: 6
Episode 424	 Total Reward: 2.05	 Steps: 2
Episode 425	 Total Reward: 1.21	 Steps: 6
Episode 426	 Total Reward: -0.11	 Steps: 0
Episode 427	 Total Reward: -0.88	 Steps: 1
Episode 428	 Total Reward: -1.53	 Steps: 3
Episode 429	 Total Reward: -0.46	 Steps: 5
Episode 430	 Total Reward: -1.02	 Steps: 3
Episode 431	 Total Reward: -0.86	 Steps: 13
Episode 432	 Total Reward: 2.08	 Steps: 4
Episode 433	 Total Reward: -0.03	 Steps: 7
Episode 434	 Total Reward: -0.68	 Steps: 12
Episode 435	 Total Reward: -0.11	 Steps: 0
Episode 436	 Total Reward: 0.66	 Steps: 3
Episode 437	 Total Reward: 0.47	 Steps: 1
Episode 438	 Total Reward: -2.03	 Steps: 2
Episode 439	 Total Reward: -3.15	 Steps: 2
Episode 440	 Total Reward: 0.24	 Steps: 1
Episode 441	 Total Reward: -1.41	 Steps: 1
Episode 442	 Total Reward: -0.13	 Steps: 2
Episode 443	 Total Reward: -2.75	 Steps: 2
Episode 444	 Total Reward: -0.63	 Steps: 3
Episode 445	 Total Reward: -0.11	 Steps: 0
Episode 446	 Total Reward: 1.68	 Steps: 1
Episode 447	 Total Reward: -1.04	 Steps: 5
Episode 448	 Total Reward: -0.85	 Steps: 3
Episode 449	 Total Reward: 0.74	 Steps: 4
Episode 450	 Total Reward: -0.52	 Steps: 1
Episode 451	 Total Reward: -0.11	 Steps: 0
Episode 452	 Total Reward: 0.24	 Steps: 4
Episode 453	 Total Reward: -0.41	 Steps: 5
Episode 454	 Total Reward: -2.19	 Steps: 4
Episode 455	 Total Reward: -1.56	 Steps: 8
Episode 456	 Total Reward: -0.16	 Steps: 4
Episode 457	 Total Reward: -1.50	 Steps: 3
Episode 458	 Total Reward: -0.11	 Steps: 0
Episode 459	 Total Reward: -0.95	 Steps: 12
Episode 460	 Total Reward: -0.11	 Steps: 0
Episode 461	 Total Reward: 0.41	 Steps: 1
Episode 462	 Total Reward: -0.40	 Steps: 4
Episode 463	 Total Reward: 0.85	 Steps: 3
Episode 464	 Total Reward: -0.40	 Steps: 1
Episode 465	 Total Reward: -0.13	 Steps: 2
Episode 466	 Total Reward: 0.45	 Steps: 5
--> Time Step 2000: Updating Policy...
Episode 467	 Total Reward: 0.19	 Steps: 1
Episode 468	 Total Reward: -0.11	 Steps: 0
Episode 469	 Total Reward: -0.28	 Steps: 5
Episode 470	 Total Reward: 0.21	 Steps: 7
Episode 471	 Total Reward: -0.11	 Steps: 0
Episode 472	 Total Reward: 0.04	 Steps: 1
Episode 473	 Total Reward: -0.11	 Steps: 0
Episode 474	 Total Reward: -0.84	 Steps: 2
Episode 475	 Total Reward: 0.18	 Steps: 10
Episode 476	 Total Reward: -3.65	 Steps: 5
Episode 477	 Total Reward: -1.20	 Steps: 2
Episode 478	 Total Reward: -0.61	 Steps: 1
Episode 479	 Total Reward: -3.10	 Steps: 1
Episode 480	 Total Reward: -0.11	 Steps: 0
Episode 481	 Total Reward: -0.11	 Steps: 0
Episode 482	 Total Reward: 1.65	 Steps: 1
Episode 483	 Total Reward: -1.02	 Steps: 1
Episode 484	 Total Reward: -0.23	 Steps: 6
Episode 485	 Total Reward: 0.06	 Steps: 4
Episode 486	 Total Reward: -3.85	 Steps: 5
Episode 487	 Total Reward: 0.40	 Steps: 2
Episode 488	 Total Reward: 1.92	 Steps: 5
Episode 489	 Total Reward: -0.91	 Steps: 1
Episode 490	 Total Reward: -3.67	 Steps: 5
Episode 491	 Total Reward: -0.11	 Steps: 0
Episode 492	 Total Reward: 0.47	 Steps: 3
Episode 493	 Total Reward: -0.54	 Steps: 1
Episode 494	 Total Reward: 0.06	 Steps: 1
Episode 495	 Total Reward: 1.19	 Steps: 1
Episode 496	 Total Reward: -1.29	 Steps: 2
Episode 497	 Total Reward: -1.26	 Steps: 24
Episode 498	 Total Reward: -0.64	 Steps: 2
Episode 499	 Total Reward: 0.82	 Steps: 1
Episode 500	 Total Reward: -1.08	 Steps: 7
Episode 501	 Total Reward: 0.43	 Steps: 4
Episode 502	 Total Reward: -0.11	 Steps: 0
Episode 503	 Total Reward: -2.60	 Steps: 4
Episode 504	 Total Reward: -3.95	 Steps: 10
Episode 505	 Total Reward: -2.97	 Steps: 3
Episode 506	 Total Reward: 2.52	 Steps: 4
Episode 507	 Total Reward: -0.11	 Steps: 0
Episode 508	 Total Reward: -0.78	 Steps: 9
Episode 509	 Total Reward: -0.75	 Steps: 1
Episode 510	 Total Reward: 2.33	 Steps: 2
Episode 511	 Total Reward: -0.11	 Steps: 0
Episode 512	 Total Reward: -0.28	 Steps: 1
Episode 513	 Total Reward: -0.66	 Steps: 1
Episode 514	 Total Reward: 0.47	 Steps: 2
Episode 515	 Total Reward: -0.33	 Steps: 3
Episode 516	 Total Reward: 0.17	 Steps: 1
Episode 517	 Total Reward: -4.04	 Steps: 3
Episode 518	 Total Reward: -1.40	 Steps: 3
Episode 519	 Total Reward: -0.26	 Steps: 4
Episode 520	 Total Reward: -0.80	 Steps: 5
Episode 521	 Total Reward: 0.25	 Steps: 3
Episode 522	 Total Reward: -0.71	 Steps: 3
Episode 523	 Total Reward: -0.76	 Steps: 5
Episode 524	 Total Reward: -1.78	 Steps: 3
Episode 525	 Total Reward: -0.25	 Steps: 4
Episode 526	 Total Reward: -0.11	 Steps: 0
Episode 527	 Total Reward: 0.97	 Steps: 5
Episode 528	 Total Reward: -0.11	 Steps: 0
Episode 529	 Total Reward: 0.72	 Steps: 10
Episode 530	 Total Reward: 2.61	 Steps: 6
Episode 531	 Total Reward: 0.46	 Steps: 13
Episode 532	 Total Reward: -0.11	 Steps: 0
Episode 533	 Total Reward: -1.03	 Steps: 6
Episode 534	 Total Reward: -1.58	 Steps: 3
Episode 535	 Total Reward: -0.91	 Steps: 7
Episode 536	 Total Reward: 3.06	 Steps: 4
Episode 537	 Total Reward: -0.84	 Steps: 10
